Date,site_no,Mean Flow,Peak Flow,Median,Coeff Var,Skew,TQmean,R-B Index,7Q,3xMedian,Station
1983-10-01,3335000,770.8415300546449,7430.0,351.5,142.6607089460771,2.8736798824953147,0.2459016393442623,0.2227003345998979,106.71428571428571,72.0,Wildcat
1984-10-01,3335000,773.8383561643835,17100.0,283.0,218.72114307075998,6.055578029788322,0.18356164383561643,0.26638248758191685,86.71428571428571,63.0,Wildcat
1985-10-01,3335000,925.9561643835616,8000.0,442.0,142.00910562478725,2.978897573943685,0.27945205479452057,0.2767254285832638,88.42857142857143,69.0,Wildcat
1986-10-01,3335000,310.3534246575342,1750.0,248.0,75.45527896287301,2.477809372264607,0.29315068493150687,0.1668093821449695,104.85714285714286,23.0,Wildcat
1987-10-01,3335000,559.6994535519126,5950.0,235.0,140.17429829715172,3.2933001531035595,0.29508196721311475,0.2045106175250183,84.0,90.0,Wildcat
1988-10-01,3335000,853.9232876712329,16100.0,421.0,190.4216147575054,5.453989396236965,0.19726027397260273,0.3167555392996708,69.42857142857143,52.0,Wildcat
1989-10-01,3335000,943.4767123287671,10400.0,574.0,136.83208320965468,3.9957216286954793,0.25205479452054796,0.27230383687265697,149.0,43.0,Wildcat
1990-10-01,3335000,964.5534246575343,16300.0,562.0,163.72324455091788,5.8914633309264275,0.29315068493150687,0.2547108179809238,86.85714285714286,51.0,Wildcat
1991-10-01,3335000,829.6612021857924,12700.0,420.0,171.13214774581164,5.229642888323199,0.22131147540983606,0.24144426587981135,129.42857142857142,48.0,Wildcat
1992-10-01,3335000,1460.1424657534246,14700.0,825.0,125.11708461856566,3.459737161539693,0.2602739726027397,0.2888121256698539,202.57142857142858,53.0,Wildcat
1993-10-01,3335000,855.1260273972603,10900.0,445.0,143.53285728434656,4.431682506968483,0.29315068493150687,0.2757552359501603,131.0,50.0,Wildcat
1994-10-01,3335000,503.4739726027397,5090.0,295.0,129.94351983119805,3.485480465158047,0.22465753424657534,0.22877214749031388,80.0,47.0,Wildcat
1995-10-01,3335000,627.25956284153,7400.0,241.5,146.60884502901263,3.2137143143899736,0.27595628415300544,0.26641606084233177,91.71428571428571,93.0,Wildcat
1996-10-01,3335000,1021.4794520547945,12800.0,497.0,150.25196649689377,4.015268698384892,0.29315068493150687,0.281866216071237,72.0,72.0,Wildcat
1997-10-01,3335000,1052.9150684931508,16600.0,322.0,182.0051311089401,4.450890709028874,0.2602739726027397,0.3001582039686298,77.28571428571429,102.0,Wildcat
1998-10-01,3335000,684.082191780822,14700.0,265.0,200.76407845950408,6.941125907560752,0.25753424657534246,0.2483960110537066,62.57142857142857,80.0,Wildcat
1999-10-01,3335000,263.5532786885246,7090.0,130.0,191.010742973385,8.640943815281496,0.19398907103825136,0.268966053462298,74.0,50.0,Wildcat
2000-10-01,3335000,513.9068493150685,4330.0,300.0,127.49987284101823,3.5190189624853483,0.2684931506849315,0.25520855546551796,102.57142857142857,42.0,Wildcat
2001-10-01,3335000,992.7260273972603,6250.0,560.0,117.57075494546869,2.3681349372037053,0.29863013698630136,0.2783612303191709,100.85714285714286,56.0,Wildcat
2002-10-01,3335000,992.7654794520548,19100.0,337.0,220.47457638630945,5.090371761564106,0.20821917808219179,0.28998723366911416,101.82857142857144,71.0,Wildcat
2003-10-01,3335000,962.9398907103825,15500.0,563.0,153.14256890731886,5.568310423239502,0.23770491803278687,0.29416688420025194,162.0,40.0,Wildcat
2004-10-01,3335000,947.9630136986301,17200.0,430.0,203.48908676272242,5.3640003724960295,0.2,0.255814847408936,70.32857142857144,56.0,Wildcat
2005-10-01,3335000,700.9917808219178,6550.0,450.0,119.04548495927203,3.5513885265215968,0.29041095890410956,0.24009817792403718,144.0,44.0,Wildcat
2006-10-01,3335000,1081.5035616438356,10200.0,535.0,138.01157189372285,3.0127092110072407,0.3041095890410959,0.2854797785325756,76.0,68.0,Wildcat
2007-10-01,3335000,1078.0306010928962,9910.0,631.5,119.24004125737633,2.859998006235285,0.3442622950819672,0.2856947702651465,83.24285714285715,60.0,Wildcat
2008-10-01,3335000,981.9720547945205,11200.0,260.0,158.39569362348678,3.1534765252896313,0.2821917808219178,0.3359613503495064,92.95714285714287,120.0,Wildcat
2009-10-01,3335000,977.4789041095892,12700.0,571.0,135.96331758954568,4.526955017274571,0.2958904109589041,0.27386724248401956,110.0,42.0,Wildcat
2010-10-01,3335000,1020.6605479452054,11200.0,307.0,155.61899843072888,2.8390624868655143,0.2684931506849315,0.29735081578918404,92.34285714285714,103.0,Wildcat
2011-10-01,3335000,768.5950819672132,8380.0,276.0,163.72253375800713,3.2947009131230636,0.24863387978142076,0.28301513868537365,82.65714285714286,82.0,Wildcat
2012-10-01,3335000,1109.4424657534246,21000.0,476.0,190.28505661248354,5.211523852067939,0.21643835616438356,0.30029670586114465,93.9,61.0,Wildcat
2013-10-01,3335000,775.828493150685,8010.0,360.0,150.32437561101204,3.2732901992771195,0.23835616438356164,0.2978436838533018,99.31428571428572,67.0,Wildcat
2014-10-01,3335000,1021.0819672131148,7830.0,649.0,107.37549884960096,,0.3081967213114754,0.2711620588896381,148.71428571428572,42.0,Wildcat
2015-10-01,3335000,713.3005464480874,10500.0,386.5,144.91078201215342,5.241760136603329,0.3087431693989071,0.2654327608132747,126.0,61.0,Wildcat
2016-10-01,3335000,1216.5150684931507,12600.0,540.0,137.9274210515996,2.9125818869675473,0.2876712328767123,0.33851243615267507,143.0,80.0,Wildcat
2017-10-01,3335000,805.5394520547945,7800.0,350.0,149.78119415099366,3.117414744813016,0.23013698630136986,0.33702115386642967,85.6857142857143,67.0,Wildcat
2018-10-01,3335000,1426.6602739726027,7740.0,973.0,98.55474545347207,1.9676023858316618,0.32602739726027397,0.28950648223362924,139.14285714285714,45.0,Wildcat
1969-10-01,3331500,707.6054794520549,3480.0,527.0,75.94614757446922,2.0684672692593713,0.35342465753424657,0.09793012126562282,217.14285714285714,28.0,Tippe
1970-10-01,3331500,647.8383561643835,3390.0,518.0,80.08034926815864,2.242461481402194,0.3780821917808219,0.09174028698178557,175.57142857142858,21.0,Tippe
1971-10-01,3331500,828.483606557377,3920.0,520.0,88.16735319675031,1.9565378017394355,0.3224043715846995,0.1038008079808723,204.57142857142858,54.0,Tippe
1972-10-01,3331500,1351.0739726027398,4620.0,1410.0,56.67535311347305,0.683756503246875,0.5315068493150685,0.07393610765256255,232.71428571428572,2.0,Tippe
1973-10-01,3331500,1039.358904109589,4650.0,852.0,86.74953275236855,1.2685460094738288,0.3972602739726027,0.08131988633667751,189.85714285714286,27.0,Tippe
1974-10-01,3331500,925.4712328767123,4690.0,713.0,79.04644078057778,1.962934809608241,0.4,0.09758227574549211,177.71428571428572,27.0,Tippe
